game_id,round_number,Date,Location,Home_Team,Away_Team
55,7,45044.40972,Marvel Stadium,St Kilda,Port Adelaide
56,7,45045.15625,Gabba,Brisbane Lions,Fremantle
57,7,45045.17361,SCG,Sydney Swans,GWS Giants
58,7,45045.27431,Marvel Stadium,Western Bulldogs,Hawthorn
59,7,45045.39236,MCG,Melbourne,North Melbourne
60,7,45045.39583,Optus Stadium,West Coast Eagles,Carlton
61,7,45046.13194,MCG,Essendon,Geelong Cats
62,7,45046.22222,Marvel Stadium,Richmond,Gold Coast Suns
63,7,45046.27778,Adelaide Oval,Adelaide Crows,Collingwood
64,8,45051.40972,Marvel Stadium,Carlton,Brisbane Lions
65,8,45052.15625,MCG,Richmond,West Coast Eagles
66,8,45052.17361,GMHBA Stadium,Geelong Cats,Adelaide Crows
67,8,45052.27431,Heritage Bank Stadium,Gold Coast Suns,Melbourne
68,8,45052.39583,Manuka Oval,GWS Giants,Western Bulldogs
69,8,45052.39583,Optus Stadium,Fremantle,Hawthorn
70,8,45053.13194,Adelaide Oval,Port Adelaide,Essendon
71,8,45053.22222,MCG,Collingwood,Sydney Swans
72,8,45053.27778,Marvel Stadium,North Melbourne,St Kilda
73,9,45058.38889,MCG,Richmond,Geelong Cats
74,9,45058.44444,Optus Stadium,West Coast Eagles,Gold Coast Suns
75,9,45059.15625,SCG,Sydney Swans,Fremantle
76,9,45059.17361,Blundstone Arena,North Melbourne,Port Adelaide
77,9,45059.27431,MCG,Hawthorn,Melbourne
78,9,45059.39236,Gabba,Brisbane Lions,Essendon
79,9,45059.39583,Marvel Stadium,Carlton,Western Bulldogs
80,9,45060.13194,Adelaide Oval,Adelaide Crows,St Kilda
81,9,45060.27778,MCG,Collingwood,GWS Giants
82,10,45065.40972,Adelaide Oval,Port Adelaide,Melbourne
83,10,45066.15625,Marvel Stadium,North Melbourne,Sydney Swans
84,10,45066.17361,Mars Stadium,Western Bulldogs,Adelaide Crows
85,10,45066.27431,Optus Stadium,Fremantle,Geelong Cats
86,10,45066.39583,Gabba,Brisbane Lions,Gold Coast Suns
87,10,45066.40278,MCG,Essendon,Richmond
88,10,45067.13194,University of Tasmania Stadium,Hawthorn,West Coast Eagles
89,10,45067.22222,MCG,Carlton,Collingwood
90,10,45067.27778,GIANTS Stadium,GWS Giants,St Kilda
91,11,45072.40972,SCG,Sydney Swans,Carlton
92,11,45073.15625,Marvel Stadium,St Kilda,Hawthorn
93,11,45073.17361,MCG,Melbourne,Fremantle
94,11,45073.27431,GMHBA Stadium,Geelong Cats,GWS Giants
95,11,45073.39236,TIO Stadium,Gold Coast Suns,Western Bulldogs
96,11,45073.39583,Optus Stadium,West Coast Eagles,Essendon
97,11,45074.13194,MCG,Richmond,Port Adelaide
98,11,45074.22222,Marvel Stadium,Collingwood,North Melbourne
99,11,45074.27778,Adelaide Oval,Adelaide Crows,Brisbane Lions
100,12,45079.40972,MCG,Melbourne,Carlton
